epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5811.47,2.0944,1.43935,1.03485,0.84079,0.84091,0.88357,0.43749,1.72118,1.01461,0.89835,0.0011882,0.0011882,0.0011882
43,5950.02,2.0323,1.40809,1.02586,0.84665,0.85606,0.89061,0.45449,1.64511,1.02967,0.88092,0.0011684,0.0011684,0.0011684
44,6088.79,2.00522,1.40964,1.02108,0.83219,0.84975,0.87797,0.4397,1.64881,1.00932,0.88432,0.0011486,0.0011486,0.0011486
45,6226.93,2.05243,1.41537,1.02447,0.84752,0.8447,0.88293,0.44128,1.65779,1.03056,0.87922,0.0011288,0.0011288,0.0011288
46,6365.22,2.01988,1.37939,1.02714,0.80636,0.83207,0.85422,0.44122,1.69098,1.02555,0.88418,0.001109,0.001109,0.001109
47,6503.6,1.98918,1.37424,1.0234,0.8219,0.79167,0.84842,0.4261,1.65276,1.0137,0.88012,0.0010892,0.0010892,0.0010892
48,6642.12,1.99495,1.35751,1.01728,0.84466,0.8548,0.89657,0.47015,1.60016,0.97348,0.8701,0.0010694,0.0010694,0.0010694
49,6780.46,1.99756,1.35401,1.01976,0.83487,0.84901,0.88506,0.47522,1.54059,0.97531,0.85731,0.0010496,0.0010496,0.0010496
50,6918.96,1.98943,1.36518,1.01747,0.81691,0.82323,0.85232,0.45366,1.6234,1.00265,0.87635,0.0010298,0.0010298,0.0010298
51,7057.18,1.9942,1.39267,1.02111,0.84323,0.86931,0.90297,0.48761,1.56018,0.95391,0.86411,0.00101,0.00101,0.00101
52,7195.6,1.95329,1.31177,1.01691,0.82908,0.85746,0.88566,0.47134,1.59618,0.94937,0.87351,0.0009902,0.0009902,0.0009902
53,7334.08,1.98074,1.34192,1.01058,0.77653,0.82487,0.85782,0.42743,1.72289,1.05685,0.8829,0.0009704,0.0009704,0.0009704
54,7472.43,2.01171,1.33912,1.02136,0.83144,0.86742,0.88554,0.44999,1.653,0.97632,0.8773,0.0009506,0.0009506,0.0009506
55,7610.68,1.93901,1.29595,1.01081,0.84678,0.85606,0.8837,0.42279,1.72025,1.00036,0.87735,0.0009308,0.0009308,0.0009308
56,7748.9,1.9646,1.29342,1.00675,0.8369,0.85523,0.871,0.4509,1.73437,0.97655,0.88632,0.000911,0.000911,0.000911
57,7887.33,1.94948,1.3203,1.01022,0.83186,0.84848,0.87247,0.46617,1.62491,0.9696,0.87776,0.0008912,0.0008912,0.0008912
58,8025.78,1.93568,1.30562,1.00193,0.81139,0.84734,0.8708,0.46162,1.63748,0.96891,0.87435,0.0008714,0.0008714,0.0008714
59,8164.05,1.94164,1.29046,1.00236,0.85601,0.86237,0.90125,0.49795,1.54698,0.9469,0.8641,0.0008516,0.0008516,0.0008516
60,8302.55,1.91568,1.27933,1.00156,0.86924,0.875,0.90549,0.48712,1.55413,0.92917,0.86317,0.0008318,0.0008318,0.0008318
61,8440.84,1.9321,1.28356,0.99507,0.82537,0.8346,0.88341,0.45933,1.70575,0.98241,0.87333,0.000812,0.000812,0.000812
62,8579.28,1.89726,1.24661,0.99885,0.85048,0.88636,0.91799,0.49296,1.57411,0.91051,0.86293,0.0007922,0.0007922,0.0007922
63,8717.6,1.88757,1.26476,1.00089,0.80196,0.8181,0.87206,0.47311,1.62918,0.92914,0.87278,0.0007724,0.0007724,0.0007724
64,8856.12,1.91058,1.27096,0.99819,0.78692,0.82071,0.85956,0.42987,1.76523,0.98239,0.88175,0.0007526,0.0007526,0.0007526
65,8994.39,1.90682,1.25891,0.99574,0.79619,0.80895,0.8746,0.43993,1.69929,0.96052,0.87359,0.0007328,0.0007328,0.0007328
66,9133.08,1.89254,1.25723,0.99496,0.79266,0.83509,0.87965,0.47076,1.61325,0.94816,0.87094,0.000713,0.000713,0.000713
67,9271.89,1.89244,1.23287,0.99466,0.80623,0.86742,0.89193,0.48065,1.58888,0.92026,0.86402,0.0006932,0.0006932,0.0006932
68,9410.51,1.91179,1.27834,0.99601,0.82163,0.82009,0.87136,0.47531,1.59851,0.94818,0.87137,0.0006734,0.0006734,0.0006734
69,9548.88,1.87177,1.23024,0.98691,0.86744,0.87577,0.91682,0.51,1.5647,0.9016,0.86423,0.0006536,0.0006536,0.0006536
70,9687.7,1.85636,1.21048,0.98673,0.84958,0.86869,0.91266,0.48712,1.56854,0.91063,0.86204,0.0006338,0.0006338,0.0006338
71,9826.05,1.8446,1.20163,0.98617,0.84931,0.88955,0.89404,0.47959,1.55327,0.9183,0.85878,0.000614,0.000614,0.000614
72,9964.74,1.85175,1.22632,0.98018,0.86221,0.88491,0.91157,0.51577,1.46973,0.86237,0.85334,0.0005942,0.0005942,0.0005942
73,10103.2,1.85213,1.21581,0.98826,0.81732,0.81566,0.88811,0.47237,1.58804,0.93625,0.86729,0.0005744,0.0005744,0.0005744
74,10241.5,1.85724,1.21376,0.98321,0.836,0.82828,0.88302,0.47158,1.6081,0.90302,0.8693,0.0005546,0.0005546,0.0005546
75,10379.9,1.8518,1.20784,0.98757,0.85078,0.85859,0.90086,0.48818,1.55098,0.88177,0.86255,0.0005348,0.0005348,0.0005348
76,10518.2,1.85747,1.20836,0.98557,0.78694,0.85811,0.88873,0.48027,1.55742,0.94196,0.86431,0.000515,0.000515,0.000515
77,10657.1,1.85107,1.20311,0.98305,0.8548,0.875,0.91529,0.49207,1.56844,0.86685,0.86228,0.0004952,0.0004952,0.0004952
78,10796.2,1.82571,1.18905,0.97842,0.8555,0.89015,0.92399,0.50193,1.543,0.88636,0.85975,0.0004754,0.0004754,0.0004754
79,10935.3,1.82529,1.1805,0.97411,0.84837,0.88763,0.91278,0.49674,1.55304,0.88255,0.85823,0.0004556,0.0004556,0.0004556
80,11074,1.82863,1.18064,0.97822,0.86445,0.90993,0.92293,0.5025,1.52333,0.85082,0.85425,0.0004358,0.0004358,0.0004358
81,11212.6,1.80273,1.15493,0.97258,0.83966,0.8662,0.89929,0.47054,1.62143,0.89398,0.86727,0.000416,0.000416,0.000416
82,11351.1,1.82295,1.17828,0.97634,0.84769,0.87626,0.91807,0.49434,1.60369,0.87559,0.8621,0.0003962,0.0003962,0.0003962
83,11489.9,1.80298,1.15701,0.9692,0.84373,0.88622,0.9161,0.48305,1.6502,0.86671,0.86735,0.0003764,0.0003764,0.0003764
84,11628.6,1.79426,1.16378,0.97312,0.86311,0.89959,0.924,0.51618,1.52466,0.84219,0.85692,0.0003566,0.0003566,0.0003566
85,11767.7,1.80911,1.16081,0.97216,0.83624,0.87043,0.91517,0.50034,1.54206,0.86114,0.85991,0.0003368,0.0003368,0.0003368
86,11906.7,1.79933,1.15783,0.96968,0.85514,0.88698,0.91669,0.50506,1.54075,0.86341,0.85624,0.000317,0.000317,0.000317
87,12045.7,1.8055,1.13313,0.97505,0.86047,0.86869,0.9228,0.49953,1.55252,0.85853,0.85944,0.0002972,0.0002972,0.0002972
88,12184.5,1.77909,1.14122,0.97368,0.85446,0.88211,0.91993,0.48795,1.60464,0.87522,0.86239,0.0002774,0.0002774,0.0002774
89,12323.4,1.79656,1.14671,0.9735,0.86102,0.88636,0.92075,0.5244,1.48089,0.84345,0.85198,0.0002576,0.0002576,0.0002576
90,12462.3,1.77413,1.13213,0.97126,0.83424,0.875,0.91355,0.49908,1.53721,0.86809,0.85798,0.0002378,0.0002378,0.0002378
91,12601.5,1.54021,0.86252,0.94193,0.838,0.87879,0.92065,0.51479,1.50175,0.85421,0.85057,0.000218,0.000218,0.000218
92,12739.9,1.49954,0.83148,0.93717,0.84507,0.88155,0.91704,0.4904,1.59425,0.8698,0.8595,0.0001982,0.0001982,0.0001982
93,12878.3,1.49786,0.82905,0.93695,0.85816,0.875,0.91404,0.5025,1.55136,0.85378,0.85372,0.0001784,0.0001784,0.0001784
94,13016.8,1.49002,0.82238,0.93527,0.84875,0.89272,0.91306,0.4995,1.55548,0.84977,0.8533,0.0001586,0.0001586,0.0001586
95,13155.1,1.489,0.80459,0.9348,0.8412,0.88288,0.90859,0.48677,1.61763,0.86655,0.86052,0.0001388,0.0001388,0.0001388
96,13293.3,1.49474,0.82905,0.93256,0.84834,0.8952,0.92107,0.51307,1.53785,0.83646,0.85296,0.000119,0.000119,0.000119
97,13431.6,1.47994,0.80555,0.93687,0.863,0.88284,0.9153,0.48259,1.63271,0.85344,0.86192,9.92e-05,9.92e-05,9.92e-05
98,13569.9,1.46457,0.80339,0.9261,0.86273,0.90278,0.91964,0.51069,1.53724,0.82603,0.85413,7.94e-05,7.94e-05,7.94e-05
99,13708.4,1.46551,0.79828,0.93007,0.86001,0.8998,0.91717,0.50184,1.57885,0.83293,0.85714,5.96e-05,5.96e-05,5.96e-05
100,13846.9,1.4496,0.78991,0.92493,0.85543,0.89773,0.91981,0.49233,1.62463,0.84607,0.86239,3.98e-05,3.98e-05,3.98e-05
