epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2220.97,2.0839,1.44485,1.03119,0.86932,0.78111,0.87337,0.39027,1.87251,1.07925,0.9077,0.0011882,0.0011882,0.0011882
43,2273.27,2.02951,1.40133,1.02206,0.86163,0.72222,0.84003,0.37667,1.93476,1.11668,0.91807,0.0011684,0.0011684,0.0011684
44,2325.84,2.02294,1.40466,1.02098,0.85007,0.82576,0.88608,0.40171,1.87455,1.04324,0.90576,0.0011486,0.0011486,0.0011486
45,2378.64,2.04236,1.42012,1.02047,0.85863,0.81439,0.88056,0.37544,1.85785,1.09015,0.89721,0.0011288,0.0011288,0.0011288
46,2431.35,2.01602,1.36532,1.02177,0.85827,0.85732,0.89504,0.42563,1.82745,1.01373,0.90038,0.001109,0.001109,0.001109
47,2483.59,1.98425,1.37786,1.01584,0.86293,0.77902,0.85309,0.39828,1.76458,1.08424,0.88994,0.0010892,0.0010892,0.0010892
48,2536.39,1.98976,1.36479,1.0121,0.84044,0.80051,0.86519,0.40642,1.78322,1.06143,0.89271,0.0010694,0.0010694,0.0010694
49,2588.97,1.99691,1.36845,1.01668,0.80537,0.78535,0.84843,0.40677,1.73448,1.09823,0.88561,0.0010496,0.0010496,0.0010496
50,2642.62,1.98913,1.38546,1.01512,0.82681,0.75952,0.83453,0.38942,1.83164,1.0752,0.90203,0.0010298,0.0010298,0.0010298
51,2695.29,2.00203,1.38258,1.01551,0.81796,0.8346,0.88184,0.42395,1.73508,1.02762,0.88166,0.00101,0.00101,0.00101
52,2748.39,1.97278,1.34675,1.01543,0.80694,0.8233,0.86068,0.40859,1.77861,1.04158,0.89158,0.0009902,0.0009902,0.0009902
53,2802.22,1.98337,1.36714,1.00852,0.81696,0.81153,0.87393,0.4238,1.73384,1.01383,0.88562,0.0009704,0.0009704,0.0009704
