epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,10064.5,0.80457,0.53794,0.07887,0.85421,0.89141,0.90805,0.34304,0.6248,0.50925,0.05755,0.0011882,0.0011882,0.0011882
43,10304.2,0.79343,0.52928,0.07591,0.86195,0.88131,0.89741,0.35176,0.59997,0.51067,0.05354,0.0011684,0.0011684,0.0011684
44,10543.8,0.77665,0.54015,0.07614,0.8558,0.89922,0.92008,0.44113,0.53185,0.48487,0.04281,0.0011486,0.0011486,0.0011486
45,10783.3,0.79131,0.5228,0.0736,0.87566,0.90698,0.92656,0.42222,0.54193,0.49763,0.04606,0.0011288,0.0011288,0.0011288
46,11023.3,0.77552,0.53054,0.07578,0.85561,0.88289,0.88713,0.43539,0.52203,0.47745,0.04122,0.001109,0.001109,0.001109
47,11263.2,0.7451,0.53424,0.0657,0.83008,0.86355,0.8695,0.45669,0.52446,0.48617,0.03579,0.0010892,0.0010892,0.0010892
48,11503.4,0.76494,0.53223,0.07399,0.87201,0.87247,0.91195,0.45924,0.50812,0.49431,0.03445,0.0010694,0.0010694,0.0010694
49,11743.3,0.77715,0.53324,0.07103,0.84955,0.87695,0.89209,0.41975,0.54616,0.49178,0.0447,0.0010496,0.0010496,0.0010496
50,11983.3,0.7581,0.54331,0.06797,0.87548,0.88777,0.90927,0.45353,0.52137,0.49462,0.03924,0.0010298,0.0010298,0.0010298
51,12223.2,0.76102,0.53973,0.0711,0.83322,0.89574,0.91432,0.442,0.5332,0.48317,0.04035,0.00101,0.00101,0.00101
52,12462.8,0.73719,0.52418,0.06639,0.86096,0.9069,0.91371,0.3894,0.5596,0.49448,0.04909,0.0009902,0.0009902,0.0009902
53,12702.5,0.75951,0.52546,0.07561,0.86853,0.88415,0.92071,0.46818,0.51047,0.48209,0.03962,0.0009704,0.0009704,0.0009704
54,12942.7,0.75034,0.53754,0.06656,0.88807,0.89155,0.92849,0.49335,0.46689,0.48645,0.03128,0.0009506,0.0009506,0.0009506
55,13182.9,0.73526,0.53523,0.06622,0.78156,0.8346,0.84465,0.407,0.59932,0.48302,0.04543,0.0009308,0.0009308,0.0009308
56,13422.7,0.73897,0.52429,0.0665,0.82772,0.88258,0.89485,0.47663,0.52572,0.46517,0.03702,0.000911,0.000911,0.000911
57,13662.7,0.746,0.52652,0.07107,0.88611,0.91288,0.93712,0.47503,0.48296,0.48088,0.03506,0.0008912,0.0008912,0.0008912
58,13902.8,0.73108,0.52616,0.06496,0.82409,0.8447,0.84888,0.45989,0.51918,0.47373,0.03357,0.0008714,0.0008714,0.0008714
59,14142.2,0.73921,0.5219,0.06626,0.85523,0.89141,0.90484,0.38563,0.57563,0.52683,0.05154,0.0008516,0.0008516,0.0008516
60,14381.7,0.72207,0.53232,0.06269,0.87481,0.92643,0.92918,0.44039,0.5086,0.484,0.04271,0.0008318,0.0008318,0.0008318
61,14621,0.72782,0.5321,0.06787,0.85174,0.91035,0.93363,0.46969,0.50168,0.461,0.03188,0.000812,0.000812,0.000812
62,14860.7,0.71615,0.52121,0.06426,0.8598,0.91372,0.93409,0.46802,0.49894,0.47428,0.03934,0.0007922,0.0007922,0.0007922
63,15100.4,0.71876,0.53063,0.07569,0.83107,0.92929,0.92279,0.47131,0.48913,0.47504,0.03532,0.0007724,0.0007724,0.0007724
64,15339.9,0.72558,0.51739,0.06626,0.87497,0.91893,0.93417,0.44637,0.51183,0.46542,0.03901,0.0007526,0.0007526,0.0007526
